match_id,stage_label,title,team_a,team_b,score,goals_a,goals_b,prob_scoreline,expected_points_8_5_3,exact_prob,difference_prob,result_prob,risk_adjusted_points,ensemble_adjusted_points,competitive_adjusted_points,public_score_popularity_index,differential_value_index,plausibility_index,rank_by_probability,rank_by_expected_points,selected_by_model,selected_by_penca,model_modal_score,model_modal_prob,penca_score,penca_expected_points,tail_7plus_or_other_prob
,Grupo H,Egypt vs Iran,Egypt,Iran,4-4,4,4,0.0008037201238071655,1.395841658019048,0.0008037201238071655,0.2786860995295253,0.2786860995295253,1.2560888099568486,1.0912631319129102,1.1544568209624888,0.0,0.2256917466056374,0.48,33,26,False,False,0-1,0.12756343158938693,0-1,2.3798417106648015,0.002274558411209493
,Grupo H,Egypt vs Iran,Egypt,Iran,4-5,4,5,0.00028718238256536435,1.9980129630443366,0.00028718238256536435,0.234277829178615,0.5095319191798036,1.9138249695792722,1.6166005978828557,1.688730747118673,0.0,0.2576076758422048,0.48,38,6,False,False,0-1,0.12756343158938693,0-1,2.3798417106648015,0.002274558411209493
,Grupo H,Egypt vs Iran,Egypt,Iran,4-6,4,6,9.437937357315426e-05,1.8401842422948769,9.437937357315426e-05,0.15565267331737337,0.5095319191798036,1.7305852222513807,1.4120660019995788,1.473901973101375,0.0,0.2208427539349861,0.48,43,12,False,False,0-1,0.12756343158938693,0-1,2.3798417106648015,0.002274558411209493
,Grupo H,Egypt vs Iran,Egypt,Iran,5-0,5,0,0.0006435248368535957,0.6389644286315972,0.0006435248368535957,0.0008439551245109402,0.21178198129067152,0.4693904898734951,0.3946972369890074,0.4461370168587901,0.0,0.18371349953493826,0.48,35,47,False,False,0-1,0.12756343158938693,0-1,2.3798417106648015,0.002274558411209493
,Grupo H,Egypt vs Iran,Egypt,Iran,5-1,5,1,0.0008411538212771325,0.6455556861877081,0.0008411538212771325,0.00384314042593106,0.21178198129067152,0.47467792271353854,0.46789303998683274,0.5225898904187819,0.0,0.19534589439981842,0.5414920345707841,32,45,False,False,0-1,0.12756343158938693,0-1,2.3798417106648015,0.002274558411209493
,Grupo H,Egypt vs Iran,Egypt,Iran,5-2,5,2,0.0006810757304961272,0.6694066387452146,0.0006810757304961272,0.016008733840855775,0.21178198129067152,0.4960786683702981,0.48480770538052503,0.5360158811047953,0.0,0.18288634187239344,0.48,34,42,False,False,0-1,0.12756343158938693,0-1,2.3798417106648015,0.002274558411209493
,Grupo H,Egypt vs Iran,Egypt,Iran,5-3,5,3,0.00039603449495088927,0.7451886412346131,0.00039603449495088927,0.05432729693887292,0.21178198129067152,0.5670398383939852,0.5018244829683918,0.5497926081218991,0.0,0.1713147326910977,0.48,36,38,False,False,0-1,0.12756343158938693,0-1,2.3798417106648015,0.002274558411209493
,Grupo H,Egypt vs Iran,Egypt,Iran,5-4,5,4,0.00017891551592461865,0.9089499746653965,0.00017891551592461865,0.13653364212280397,0.21178198129067152,0.7319046085843373,0.6611281946987789,0.7154401232257317,0.0,0.19397117331054564,0.48,39,33,False,False,0-1,0.12756343158938693,0-1,2.3798417106648015,0.002274558411209493
,Grupo H,Egypt vs Iran,Egypt,Iran,5-5,5,5,6.92851041750296e-05,1.3936383529601515,6.92851041750296e-05,0.2786860995295253,0.2786860995295253,1.2547874881437573,1.079958858970182,1.141284366994127,0.0,0.21901967151408885,0.48,45,27,False,False,0-1,0.12756343158938693,0-1,2.3798417106648015,0.002274558411209493
,Grupo H,Egypt vs Iran,Egypt,Iran,5-6,5,6,2.243845704238891e-05,1.9972187312677678,2.243845704238891e-05,0.234277829178615,0.5095319191798036,1.9133393603543585,1.6098098464479051,1.6808164317962075,0.0,0.25359494767250845,0.48,47,7,False,False,0-1,0.12756343158938693,0-1,2.3798417106648015,0.002274558411209493
,Grupo H,Egypt vs Iran,Egypt,Iran,6-0,6,0,0.00013777063763691235,0.6361153956545788,0.00013777063763691235,0.00017806993482668808,0.21178198129067152,0.4680258746062874,0.37833846358351236,0.4264996457509168,0.0,0.17200422202644436,0.48,41,49,False,False,0-1,0.12756343158938693,0-1,2.3798417106648015,0.002274558411209493
,Grupo H,Egypt vs Iran,Egypt,Iran,6-1,6,1,0.00017157181383361937,0.6375485695625372,0.00017157181383361937,0.0008439551245109402,0.21178198129067152,0.46918314073477607,0.44448746530908223,0.49197739684322744,0.0,0.16960689833623285,0.48,40,48,False,False,0-1,0.12756343158938693,0-1,2.3798417106648015,0.002274558411209493
,Grupo H,Egypt vs Iran,Egypt,Iran,6-2,6,2,0.00013201843842324516,0.6434282800391464,0.00013201843842324516,0.00384314042593106,0.21178198129067152,0.4743394093382165,0.4495676739046256,0.4972701473090501,0.0,0.17036597644437326,0.48,42,46,False,False,0-1,0.12756343158938693,0-1,2.3798417106648015,0.002274558411209493
,Grupo H,Egypt vs Iran,Egypt,Iran,6-3,6,3,7.863334047205856e-05,0.6675993115751423,7.863334047205856e-05,0.016008733840855775,0.21178198129067152,0.49571364383959027,0.43658245956084707,0.4830103479175216,0.0,0.16581388698812347,0.48,44,43,False,False,0-1,0.12756343158938693,0-1,2.3798417106648015,0.002274558411209493
,Grupo H,Egypt vs Iran,Egypt,Iran,6-4,6,4,3.659282499619355e-05,0.744110316224749,3.659282499619355e-05,0.05432729693887292,0.21178198129067152,0.5667097158196752,0.5008312452313609,0.5487328568513273,0.0,0.17107718435702288,0.48,46,39,False,False,0-1,0.12756343158938693,0-1,2.3798417106648015,0.002274558411209493
,Grupo H,Egypt vs Iran,Egypt,Iran,6-5,6,5,1.433800447618229e-05,0.9084562421310511,1.433800447618229e-05,0.13653364212280397,0.21178198129067152,0.7316857260527838,0.6557628402970982,0.7090080775980396,0.0,0.1901615617890765,0.48,48,34,False,False,0-1,0.12756343158938693,0-1,2.3798417106648015,0.002274558411209493
,Grupo H,Egypt vs Iran,Egypt,Iran,6-6,6,6,5.086647519229886e-06,1.393445757590184,5.086647519229886e-06,0.2786860995295253,0.2786860995295253,1.2546738513078204,1.0786971570494959,1.139804930850449,0.0,0.21824204928911803,0.48,49,28,False,False,0-1,0.12756343158938693,0-1,2.3798417106648015,0.002274558411209493
,Grupo H,Egypt vs Iran,Egypt,Iran,7+ / otro,,,0.002274558411209493,,,,,,,,,,,,,False,False,0-1,0.12756343158938693,0-1,2.3798417106648015,0.002274558411209493
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,0-0,0,0,0.08681853973605652,1.1756178815990221,0.08681853973605652,0.18303245247817054,0.18303245247817054,0.8877835552766074,1.1336310562702936,1.2612317186359592,0.0,0.4557166513059486,0.9662488920923482,4,22,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,0-1,0,1,0.14299983077721484,3.123187663820036,0.14299983077721484,0.22782450088354103,0.7461797232404364,3.0216100844113445,3.2694342097234337,3.4623477472445088,0.0,0.6889769197181254,0.9672807265469825,2,2,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,0-2,0,2,0.15735330882370044,3.1540831170981454,0.15735330882370044,0.2217420104528674,0.7461797232404364,3.0386322755609743,3.6392021203011704,3.8782026233902642,0.0,0.8535732253181916,0.9665778377438387,1,1,True,True,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,0-3,0,3,0.12230026149121243,2.919362115845981,0.12230026149121243,0.1569610808255172,0.7461797232404364,2.7946401984449865,3.158816811407251,3.354166891133318,0.0,0.6976788561645254,0.7892149411703974,3,3,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,0-4,0,4,0.06750525748979933,2.606757995544908,0.06750525748979933,0.08285152667710048,0.7461797232404364,2.4967967873113173,2.4633457120049846,2.597658996308953,0.0,0.4796903010856019,0.6340860959270709,7,14,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,0-5,0,5,0.029923117854350343,2.400103700870179,0.029923117854350343,0.03589758879290931,0.7461797232404364,2.3161994732118734,2.0766928194115697,2.176425813371891,0.0,0.35618926414400376,0.5202170183593269,11,19,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,0-6,0,6,0.011612113332405163,2.300820199580278,0.011612113332405163,0.013722344930876778,0.7461797232404364,2.236481860419472,1.8861923534110112,1.9690550770610988,0.0,0.29593829875031313,0.48,16,21,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,1-0,1,0,0.033639151072777,0.4228120427759931,0.033639151072777,0.05476555835674148,0.07078782428139305,0.18601989495309387,0.6001649719684843,0.7335906541429076,0.0,0.4765202934800834,0.9785946641269762,9,29,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,1-1,1,1,0.07399084032271536,1.1371347833589986,0.07399084032271536,0.18303245247817054,0.18303245247817054,0.8639636412501632,1.2109608187602605,1.3628995036848255,0.0,0.5426381604448746,0.9673207622833994,5,23,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,1-2,1,2,0.06993560878904496,2.903994997855526,0.06993560878904496,0.22782450088354103,0.7461797232404364,2.8616543535759034,3.1606391814717902,3.368373994350633,0.0,0.7419100459958663,0.9716109118634348,6,4,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,1-3,1,3,0.055607390405908744,2.84884536184477,0.055607390405908744,0.2217420104528674,0.7461797232404364,2.8166487937106037,2.958050182978937,3.140938699450298,0.0,0.653173273112003,0.9726636764428886,8,5,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,1-4,1,4,0.030579357779939975,2.6441994047121633,0.030579357779939975,0.1569610808255172,0.7461797232404364,2.6073593897875327,2.487354627437738,2.6204316433817745,0.0,0.475275056942987,0.7774626154580733,10,13,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,1-5,1,5,0.013729649701760877,2.445431172180793,0.013729649701760877,0.08285152667710048,0.7461797232404364,2.399922701969851,2.068512270882304,2.158795071055298,0.0,0.32243857204640786,0.5606211119944461,14,17,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,1-6,1,6,0.00538956548344093,2.3265030437574503,0.00538956548344093,0.03589758879290931,0.7461797232404364,2.278105526152746,1.8928800744355685,1.9682034931409198,0.0,0.26901220966196904,0.48,19,20,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,2-0,2,0,0.008907952363721973,0.26488043859041127,0.008907952363721973,0.012896554327533108,0.07078782428139305,0.10105274686999255,0.35329803490778,0.4675813834543056,0.0,0.40815481623759137,0.7460707429956112,17,35,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,2-1,2,1,0.01724053606819731,0.373616197762254,0.01724053606819731,0.05476555835674148,0.07078782428139305,0.17217156850294632,0.510579507108362,0.6442875595907549,0.0,0.4775287588656888,0.9811785470629112,13,30,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,2-2,2,2,0.019301723063530146,0.9730674315814432,0.019301723063530146,0.18303245247817054,0.18303245247817054,0.7701622844741298,0.9769304326678622,1.1091341569983375,0.0,0.47215615832312613,0.9724571654267854,12,24,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,2-3,2,3,0.013345176826279854,2.734223701967231,0.013345176826279854,0.22782450088354103,0.7461797232404364,2.7480839761167672,2.529208000404609,2.658609086007869,0.0,0.46214673429735714,0.7775427247441514,15,6,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,2-4,2,4,0.007991405622791728,2.7059974074954196,0.007991405622791728,0.2217420104528674,0.7461797232404364,2.7231257435325227,2.400488878599419,2.5044052724438233,0.0,0.3711299780157296,0.5580928567024146,18,7,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,2-5,2,5,0.0037502687048518706,2.563712137486899,0.0037502687048518706,0.1569610808255172,0.7461797232404364,2.55889804435026,2.1806735250578226,2.26684896220982,0.0,0.30776941839999056,0.48,20,15,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,2-6,2,6,0.0014951663878285035,2.4087277222389956,0.0014951663878285035,0.08285152667710048,0.7461797232404364,2.3804286081001287,1.9583383742655105,2.0331396936911483,0.0,0.2671475693772773,0.48,25,18,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
