match_id,title,team_a,team_b,model_prob_a,model_prob_draw,model_prob_b,market_prob_a,market_prob_draw,market_prob_b,market_total_goals,market_handicap,gap_status
M83,Dieciseisavos 11: Colombia vs Croatia,Colombia,Croatia,0.4108961630,0.3141687779,0.2749350590,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M84,Dieciseisavos 12: Spain vs Austria,Spain,Austria,0.7701136896,0.1749560939,0.0549302165,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M85,Dieciseisavos 13: Switzerland vs Egypt,Switzerland,Egypt,0.6407741264,0.2405995138,0.1186263598,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M86,Dieciseisavos 14: Argentina vs Uruguay,Argentina,Uruguay,0.6562048257,0.2351044638,0.1086907105,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M87,Dieciseisavos 15: Colombia vs Panama,Colombia,Panama,0.6935241700,0.2183048315,0.0881709986,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M88,Dieciseisavos 16: Turkey vs Iran,Turkey,Iran,0.4850424436,0.2955415521,0.2194160044,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M89,Octavos 1: Canada vs Germany,Canada,Germany,0.1776930036,0.2802120321,0.5420949643,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M90,Octavos 2: Netherlands vs Brazil,Netherlands,Brazil,0.3000947931,0.3183554432,0.3815497637,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M91,Octavos 3: France vs Norway,France,Norway,0.5832103190,0.2639928480,0.1527968330,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M92,Octavos 4: Mexico vs England,Mexico,England,0.1385040049,0.2484074549,0.6130885402,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M93,Octavos 5: Turkey vs Belgium,Turkey,Belgium,0.3523619329,0.3216302679,0.3260077992,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M94,Octavos 6: Colombia vs Spain,Colombia,Spain,0.1332428182,0.2520460414,0.6147111404,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M95,Octavos 7: Switzerland vs Argentina,Switzerland,Argentina,0.1074942266,0.2327406497,0.6597651238,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M96,Octavos 8: Colombia vs Turkey,Colombia,Turkey,0.5105656633,0.2897459598,0.1996883769,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M97,Cuartos 1: Germany vs Brazil,Germany,Brazil,0.2526391043,0.3056667683,0.4416941274,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M98,Cuartos 2: France vs England,France,England,0.3663997155,0.3216007038,0.3119995807,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M99,Cuartos 3: Turkey vs Spain,Turkey,Spain,0.0713587000,0.1989028922,0.7297384078,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M100,Cuartos 4: Argentina vs Colombia,Argentina,Colombia,0.5369149784,0.2830964940,0.1799885276,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M101,Semifinal 1: Brazil vs France,Brazil,France,0.2513062823,0.3087340022,0.4399597154,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M102,Semifinal 2: Spain vs Argentina,Spain,Argentina,0.4210946533,0.3123069726,0.2665983741,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M103,Final: France vs Spain,France,Spain,0.2139702639,0.2951985703,0.4908311658,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M104,Tercer puesto: Brazil vs Argentina,Brazil,Argentina,0.1998056930,0.2898950834,0.5102992236,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
